@relation myInstances

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute label {other,fall}

@data
6.960157,6.960157,6.960157,-13.563567,-13.563567,-13.563567,-0.210058,-9.732408,-1.513421,11.294259,11.378522,33.467598,3.360693,3.373206,5.785119,2.176964,1.216433,0.452827,-2.904824,-1.8214,-0.699876,0.026229,0.043572,-0.120959,3.736417,0.88219,0.203737,1.932981,0.93925,0.451372,other
7.515629,7.515629,7.515629,-20.770334,-20.770334,-20.770334,0.136776,-10.371308,-1.091617,14.041506,14.895485,37.147488,3.7472,3.859467,6.094874,2.211172,0.718578,0.347147,-2.809529,-2.073687,-0.943,-0.448352,-0.513721,-0.238,3.727416,0.789823,0.150671,1.930652,0.88872,0.388164,other
6.67045,6.67045,6.67045,-16.644999,-16.644999,-16.644999,-0.039625,-9.877237,-1.362342,12.271026,15.795569,53.699825,3.503002,3.974364,7.328016,2.254544,1.381367,0.456492,-2.574957,-1.784137,-0.857479,0.241193,0.332145,-0.080336,3.037035,0.924568,0.21185,1.742709,0.961545,0.460272,other
7.154093,7.154093,7.154093,-12.42868,-12.42868,-12.42868,-0.191564,-10.293032,-0.830769,11.294972,14.591096,48.411224,3.360799,3.819829,6.957818,2.203842,1.484603,0.399682,-2.9934,-1.349812,-0.919787,-0.102969,0.159819,-0.157122,4.739415,0.993089,0.232065,2.17702,0.996539,0.481731,other
5.961744,5.961744,5.961744,-9.857229,-9.857229,-9.857229,-0.107151,-9.529186,-0.991821,7.138833,16.558392,47.891682,2.671859,4.0692,6.920382,2.114045,0.867629,0.314772,-2.459503,-1.873934,-0.677885,0.201487,-0.253187,-0.055291,2.976897,0.91431,0.124698,1.725369,0.956196,0.353126,other
6.890723,6.890723,6.890723,-7.309721,-7.309721,-7.309721,-0.130674,-10.216264,-1.394186,7.4356,15.852997,45.853588,2.72683,3.981582,6.771528,2.101827,1.095482,0.445497,-3.166886,-1.171439,-1.036462,-0.402903,0.132025,-0.191941,3.513049,0.454794,0.24587,1.874313,0.674384,0.495853,other
4.936995,4.936995,4.936995,-13.98496,-13.98496,-13.98496,0.179828,-10.306941,-0.737205,8.634498,12.144043,25.690466,2.938452,3.48483,5.068576,2.027913,1.667252,0.657467,-2.787538,-1.789024,-0.707817,0.373323,0.43196,0.006162,2.468742,1.457513,0.191463,1.571223,1.207275,0.437565,other
6.517216,6.517216,6.517216,-9.775824,-9.775824,-9.775824,-0.027055,-9.777447,-1.430207,9.932636,11.755202,41.140591,3.151609,3.428586,6.414093,2.131149,1.474829,0.580498,-2.851679,-1.471374,-1.151916,0.037408,0.278999,-0.154678,3.722379,1.037216,0.382946,1.929347,1.018438,0.618827,other
8.43503,8.43503,8.43503,-7.604217,-7.604217,-7.604217,-0.24552,-10.206953,-0.956061,8.902905,17.278353,48.94273,2.983774,4.156724,6.995908,2.113434,1.18589,0.444886,-2.328778,-1.964953,-0.789062,0.134719,-0.345855,-0.180213,2.75497,0.92489,0.194166,1.65981,0.961712,0.440643,other
7.556331,7.556331,7.556331,-11.734341,-11.734341,-11.734341,-0.147616,-9.913265,-0.951018,11.4561,15.494723,43.899769,3.384686,3.936334,6.62569,2.187959,1.321502,0.444275,-3.064871,-1.80002,-1.024856,-0.261794,0.271547,-0.222423,3.593997,1.274352,0.281945,1.895784,1.128872,0.530985,other
